City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,astaneh-ye ashrafiyeh,37.2596,49.9444,4.96,91,93,1.23,IR,1680403512
1,saskylakh,71.9167,114.0833,-6.28,87,94,7.74,RU,1680403512
2,rikitea,-23.1203,-134.9692,26.81,81,75,6.4,PF,1680403512
3,japura,-0.3167,102.35,24.77,91,100,0.75,ID,1680403512
4,cape town,-33.9258,18.4232,17.99,79,0,3.09,ZA,1680403397
5,arraial do cabo,-22.9661,-42.0278,24.04,86,1,5.81,BR,1680403513
6,tasiilaq,65.6145,-37.6368,-2.91,80,97,1.8,GL,1680403217
7,sao joao da barra,-21.6403,-41.0511,23.06,93,99,2.9,BR,1680403513
8,hithadhoo,-0.6,73.0833,27.64,73,60,3.31,MV,1680403243
9,goderich,43.7501,-81.7165,1.62,55,76,7.72,CA,1680403514
10,dikson,73.5069,80.5464,-14.58,96,100,3.69,RU,1680403514
11,virginia beach,36.8529,-75.978,24.02,38,0,12.86,US,1680403418
12,bichura,50.5881,107.6022,-7.14,45,100,4.89,RU,1680403514
13,marsh harbour,26.5412,-77.0636,24.12,82,6,5.64,BS,1680403515
14,port hardy,50.6996,-127.4199,3.1,93,75,3.6,CA,1680403391
15,hilo,19.7297,-155.09,25.16,83,100,2.68,US,1680403515
16,manggar,-2.8833,108.2667,29.63,62,91,0.25,ID,1680403337
17,mar del plata,-38.0023,-57.5575,16.16,69,0,3.6,AR,1680403287
18,nara,34.6851,135.8049,21.09,46,100,4.61,JP,1680403388
19,san patricio,28.017,-97.5169,24.97,81,66,4.43,US,1680403516
20,thompson,55.7435,-97.8558,-11.91,44,75,3.6,CA,1680403516
21,ushuaia,-54.8,-68.3,5.81,70,20,5.14,AR,1680403270
22,saint-philippe,-21.3585,55.7679,23.77,81,100,3.75,RE,1680403516
23,puerto ayora,-0.7393,-90.3518,27.53,91,69,2.68,EC,1680403517
24,new norfolk,-42.7826,147.0587,18.29,58,100,2.68,AU,1680403517
25,hervey bay,-25.2986,152.8535,23.7,58,92,2.2,AU,1680403517
26,faanui,-16.4833,-151.75,28.29,68,2,3.34,PF,1680403258
27,dagana,16.5165,-15.5068,27.3,7,0,3.97,MR,1680403518
28,maiduguri,11.8464,13.1603,23.32,27,14,2.98,NG,1680403518
29,port macquarie,-31.4333,152.9167,22.16,64,100,3.74,AU,1680403518
30,mataura,-46.1927,168.8643,13.04,96,100,1.34,NZ,1680403518
31,longyearbyen,78.2186,15.6401,-12.09,85,75,2.57,SJ,1680403519
32,antofagasta,-23.65,-70.4,21.6,86,38,0.85,CL,1680402943
33,cidreira,-30.1811,-50.2056,19.0,71,42,3.29,BR,1680403292
34,albany,42.6001,-73.9662,10.03,84,100,3.09,US,1680403505
